id,dcb,rcl,juros,amortizacao,primario,dbp,rec_cor,desp_cor,investimentos,desp_total,rec_previdenciarias,inativos,rec_tributaria,obrig_fin,disp_caixa_bruta
es2008,3807147559.53,7735570468.26,144537717.42,222473267.58,2031823442.57,3312788639.36,10783974155.34,7639360643,787936782.04,10192769755.9,986718991.39,1029719688.86,7727338831.0199995,548650637.56,2521654546.83
es2009,3658046941.03,7486191650.76,139266789.8,244165768.4,659241257.68,3817592952.6299996,10537451579.76,8299879676.71,1177955849.32,11104806159.43,1120498370.37,1152065143.5,7285004187.18,625525013.88,2545520367.17
es2010,3772319559.16,8239168317.26,139497607.8,214134274.26,69121268.05,4468279027.309999,11641468123.090002,9689078645.73,1593120636.77,12742897651.779999,1265569363.49,1336092474.8,8131385630.92,291014047.92,2207439969.12
es2011,3859630026.45,9772997585.34,150218656.13,248211961.24,1490003740.71,5208233882.03,13766320312.710001,10835868751.210001,1206058538.42,13905213434.23,1489012958.2,1508158435.69,9528840371.04,267410760.68,2507914071.57
es2012,5095951051.09,10915833390.24,157433324.23999998,496057205.15,1545612070.54,5799239493.009999,15278525038.190002,9588647656.800001,1164716291.95,12821997736.390001,1661257712.84,1659131603.93,10326078714.500002,268610473.87,3557624039.36
es2013,5679045587.37,10561113114.83,193215857.43,301048981.59,-316506974.109998,6537237716.54,15098886262.53,10874897263.47,1414938460.88,13721665464.74,1895654274.74,1882709132.79,10003811743.47,389281193.5,3555424337.76
es2014,6062940472.16,11798288649.28,250537250.94,228437546.39,-494585752.78,6259828757.360001,16511953543.14,12490164001.44,1872420155.44,15156024059.43,2202381696.88,2163931037.07,10285973537.13,409629869.27,1940538904.78
es2015,7034527965.75,11951594613.26,303467446.68,253135930.49,206453862.14,5909315936.44,16902533199.57,12775738395.91,620473297.47,14198748428.83,2355310490.66,1895231385.23,10698575724.49,420753281.58,4167650040.72
es2016,6809779959.8,11884435326.99,314595539.46,263894849.36,316568269.65,5822486456.68,16590749648.7,12782660769.33,541096144.69,14015285276.56,2517095071.9,2021183642.47,10294627012.63,384147985.12,4849068268.03
go2008,13297232033,8944458593.24,510192988.47,493999629.53,1474933593.39,4188141915.74,12135412706.699999,9810586257.63,758385748.69,11068637198.919998,271461498.21,1206727436.23,7700905501.07,594364509.23,1505462444.46
